05/27/21,,,,,Actual,Previous,Consensus,Forecast,
12:30:00 PM,,US,,GDP Price Index QoQ 2nd Est Q1,4.3%,1.90%,4.10%,4.10%,
12:30:00 PM,,US,,Core PCE Prices QoQ 2nd Est Q1,2.5%,1.30%,2.3%,2.3%, 
12:30:00 PM,,US,,PCE Prices QoQ 2nd Est Q1,3.7%,1.50%,3.5%,3.5%, 
05/28/21,,,,,Actual,Previous,Consensus,Forecast,
12:30:00 PM,,US,,PCE Price Index MoM APR,0.6%,0.6% ®, ,0.7%, 
12:30:00 PM,,US,,PCE Price Index YoY APR,3.6%,2.4% ®, ,3%, 
12:30:00 PM,,US,,Core PCE Price Index MoM APR,0.7%,0.40%,0.6%,0.3%, 
12:30:00 PM,,US,,Core PCE Price Index YoY APR,3.1%,1.9% ®,2.9%,2.6%, 
02:00:00 PM,,US,,Michigan 5 Year Inflation Expectations Final MAY,3%,2.70%, ,3.1%, 
02:00:00 PM,,US,,Michigan Inflation Expectations Final MAY,4.6%,3.40%, ,4.6%, 
06/10/21,,,,,Actual,Previous,Consensus,Forecast,
12:30:00 PM,,US,,Core Inflation Rate YoY MAY,3.8%,3.00%,3.4%,3.2%, 
12:30:00 PM,,US,,Inflation Rate YoY MAY,5%,4.20%,4.7%,4.7%, 
12:30:00 PM,,US,,Core Inflation Rate MoM MAY,0.7%,0.90%,0.40%,0.60%,
12:30:00 PM,,US,,Inflation Rate MoM MAY,0.6%,0.80%,0.4%,0.5%, 
12:30:00 PM,,US,,CPI MAY,269.195,267.054,268.473,, 
06/11/21,,,,,Actual,Previous,Consensus,Forecast,
02:00:00 PM,,US,,Michigan Inflation Expectations Prel JUN,4%,4.60%, ,4.8%, 
02:00:00 PM,,US,,Michigan 5 Year Inflation Expectations Prel JUN,2.8%,3.00%, ,3.1%, 
06/14/21,,,,,Actual,Previous,Consensus,Forecast,
03:00:00 PM,,US,,Consumer Inflation Expectations MAY,4%,3.40%, ,3.8%, 
06/15/21,,,,,Actual,Previous,Consensus,Forecast,
12:30:00 PM,,US,,PPI MoM MAY,0.8%,0.60%,0.6%,0.7%, 
12:30:00 PM,,US,,Core PPI MoM MAY,0.7%,0.70%,0.5%,0.7%, 
12:30:00 PM,,US,,Core PPI YoY MAY,4.8%,4.10%,4.8%,4.9%, 
12:30:00 PM,,US,,PPI YoY MAY,6.6%,6.20%,6.3%,6.4%, 
06/16/21,,,,,Actual,Previous,Consensus,Forecast,
12:30:00 PM,,US,,Import Prices YoY MAY,11.3%,10.8% ®, ,10.7%, 
12:30:00 PM,,US,,Export Prices YoY MAY,17.4%,14.40%, ,15.2%, 
12:30:00 PM,,US,,Import Prices MoM MAY,1.1%,0.8% ®,0.8%,0.8%, 
12:30:00 PM,,US,,Export Prices MoM MAY,2.2%,1.1% ®,0.8%,0.7%, 
06/24/21,,,,,Actual,Previous,Consensus,Forecast,
12:30:00 PM,,US,,GDP Price Index QoQ Final Q1,4.3%,1.90%,4.30%,4.30%,
12:30:00 PM,,US,,Core PCE Prices QoQ Final Q1,2.5%,1.30%,2.5%,2.5%, 
12:30:00 PM,,US,,PCE Prices QoQ Final Q1,3.7%,1.50%,3.7%,3.7%, 
06/25/21,,,,,Actual,Previous,Consensus,Forecast,
12:30:00 PM,,US,,PCE Price Index YoY MAY,3.9%,3.60%, ,4.2%, 
12:30:00 PM,,US,,PCE Price Index MoM MAY,0.4%,0.60%, ,0.8%, 
12:30:00 PM,,US,,Core PCE Price Index YoY MAY,3.4%,3.10%,3.4%,3.5%, 
12:30:00 PM,,US,,Core PCE Price Index MoM MAY,0.5%,0.70%,0.6%,0.6%, 
02:00:00 PM,,US,,Michigan Inflation Expectations Final JUN,4.2%,4.60%, ,4%, 
02:00:00 PM,,US,,Michigan 5 Year Inflation Expectations Final JUN,2.8%,3.00%, ,2.8%, 
07/12/21,,,,,Actual,Previous,Consensus,Forecast,
03:00:00 PM,,US,,Consumer Inflation Expectations JUN,4.8%,4.00%, ,4.1%, 
07/13/21,,,,,Actual,Previous,Consensus,Forecast,
12:30:00 PM,,US,,Inflation Rate YoY JUN,5.4%,5.00%,4.9%,4.9%, 
12:30:00 PM,,US,,Core Inflation Rate YoY JUN,4.5%,3.80%,4%,3.9%, 
12:30:00 PM,,US,,Core Inflation Rate MoM JUN,0.9%,0.70%,0.40%,0.40%,
12:30:00 PM,,US,,Inflation Rate MoM JUN,0.9%,0.60%,0.5%,0.5%, 
12:30:00 PM,,US,,CPI JUN,271.696,269.195,270.638,, 
07/14/21,,,,,Actual,Previous,Consensus,Forecast,
12:30:00 PM,,US,,PPI MoM JUN,1%,0.80%,0.6%,0.6%, 
12:30:00 PM,,US,,Core PPI YoY JUN,5.6%,4.80%,5.1%,4.9%, 
12:30:00 PM,,US,,Core PPI MoM JUN,1%,0.70%,0.5%,0.5%, 
12:30:00 PM,,US,,PPI YoY JUN,7.3%,6.60%,6.8%,6.8%, 
07/15/21,,,,,Actual,Previous,Consensus,Forecast,
12:30:00 PM,,US,,Import Prices YoY JUN,11.2%,11.6% ®, ,11%, 
12:30:00 PM,,US,,Export Prices YoY JUN,16.8%,17.50%, ,17.6%, 
12:30:00 PM,,US,,Import Prices MoM JUN,1%,1.4% ®,1.2%,0.9%, 
12:30:00 PM,,US,,Export Prices MoM JUN,1.2%,2.20%,1.2%,1.5%, 
07/16/21,,,,,Actual,Previous,Consensus,Forecast,
02:00:00 PM,,US,,Michigan Inflation Expectations Prel JUL,4.8%,4.20%, ,4.3%, 
02:00:00 PM,,US,,Michigan 5 Year Inflation Expectations Prel JUL,2.9%,2.80%, ,2.6%, 
07/29/21,,,,,Actual,Previous,Consensus,Forecast,
12:30:00 PM,,US,,GDP Price Index QoQ Adv Q2,6.1%,4.30%,5.40%,4.60%,
12:30:00 PM,,US,,PCE Prices QoQ Adv Q2,6.4%,3.8% ®, ,4.2%, 
12:30:00 PM,,US,,Core PCE Prices QoQ Adv Q2,6.1%,2.7% ®,5.9%,2.9%, 
07/30/21,,,,,Actual,Previous,Consensus,Forecast,
12:30:00 PM,,US,,PCE Price Index MoM JUN,0.5%,0.5% ®, ,0.8%, 
12:30:00 PM,,US,,PCE Price Index YoY JUN,4%,4% ®, ,4.2%, 
12:30:00 PM,,US,,Core PCE Price Index YoY JUN,3.5%,3.40%,3.7%,3.7%, 
12:30:00 PM,,US,,Core PCE Price Index MoM JUN,0.4%,0.50%,0.6%,0.6%, 
02:00:00 PM,,US,,Michigan Inflation Expectations Final JUL,4.7%,4.20%, ,4.8%, 
02:00:00 PM,,US,,Michigan 5 Year Inflation Expectations Final JUL,2.8%,2.80%, ,2.9%, 
08/09/21,,,,,Actual,Previous,Consensus,Forecast,
03:00:00 PM,,US,,Consumer Inflation Expectations JUL,4.8%,4.80%, ,4.7%, 
08/11/21,,,,,Actual,Previous,Consensus,Forecast,
12:30:00 PM,,US,,Core Inflation Rate YoY JUL,4.3%,4.50%,4.3%,4.4%, 
12:30:00 PM,,US,,Inflation Rate YoY JUL,5.4%,5.40%,5.3%,5.4%, 
12:30:00 PM,,US,,Core Inflation Rate MoM JUL,0.3%,0.90%,0.40%,0.50%,
12:30:00 PM,,US,,Inflation Rate MoM JUL,0.5%,0.90%,0.5%,0.6%, 
12:30:00 PM,,US,,CPI JUL,273.003,271.696,272.866,, 
08/12/21,,,,,Actual,Previous,Consensus,Forecast,
12:30:00 PM,,US,,PPI MoM JUL,1%,1.00%,0.6%,0.7%, 
12:30:00 PM,,US,,Core PPI MoM JUL,1%,1.00%,0.5%,0.6%, 
12:30:00 PM,,US,,Core PPI YoY JUL,6.2%,5.60%,5.6%,5.8%, 
12:30:00 PM,,US,,PPI YoY JUL,7.8%,7.30%,7.3%,7.5%, 
08/13/21,,,,,Actual,Previous,Consensus,Forecast,
12:30:00 PM,,US,,Export Prices YoY JUL,17.2%,16.9% ®, ,16.7%, 
12:30:00 PM,,US,,Import Prices YoY JUL,10.2%,11.3% ®, ,10.6%, 
12:30:00 PM,,US,,Import Prices MoM JUL,0.3%,1.1% ®,0.6%,0.7%, 
12:30:00 PM,,US,,Export Prices MoM JUL,1.3%,1.20%,0.8%,0.9%, 
02:00:00 PM,,US,,Michigan 5 Year Inflation Expectations Prel AUG,3%,2.80%, ,, 
02:00:00 PM,,US,,Michigan Inflation Expectations Prel AUG,4.6%,4.70%, ,, 
08/26/21,,,,,Actual,Previous,Consensus,Forecast,
12:30:00 PM,,US,,GDP Price Index QoQ 2nd Est Q2,6.2%,4.30%,6.00%,6.10%,
12:30:00 PM,,US,,PCE Prices QoQ 2nd Est Q2,6.5%,3.80%, ,6.4%, 
12:30:00 PM,,US,,Core PCE Prices QoQ 2nd Est Q2,6.1%,2.70%,6.1%,6.1%, 
08/27/21,,,,,Actual,Previous,Consensus,Forecast,
12:30:00 PM,,US,,PCE Price Index YoY JUL,4.2%,4.00%, ,4.1%, 
12:30:00 PM,,US,,PCE Price Index MoM JUL,0.4%,0.50%, ,0.4%, 
12:30:00 PM,,US,,Core PCE Price Index YoY JUL,3.6%,3.6% ®,3.6%,3.5%, 
12:30:00 PM,,US,,Core PCE Price Index MoM JUL,0.3%,0.5% ®,0.3%,0.3%, 
02:00:00 PM,,US,,Michigan Inflation Expectations Final AUG,4.6%,4.70%, ,4.6%, 
02:00:00 PM,,US,,Michigan 5 Year Inflation Expectations Final AUG,2.9%,2.80%, ,3%, 
09/10/21,,,,,Actual,Previous,Consensus,Forecast,
12:30:00 PM,,US,,PPI MoM AUG,0.7%,1.00%,0.6%,0.7%, 
12:30:00 PM,,US,,Core PPI YoY AUG,6.7%,6.20%,6.6%,6.7%, 
12:30:00 PM,,US,,Core PPI MoM AUG,0.6%,1.00%,0.5%,0.6%, 
12:30:00 PM,,US,,PPI YoY AUG,8.3%,7.80%,8.2%,8.3%, 
09/13/21,,,,,Actual,Previous,Consensus,Forecast,
03:00:00 PM,,US,,Consumer Inflation Expectations AUG,5.2%,4.80%, ,4.9%, 
09/14/21,,,,,Actual,Previous,Consensus,Forecast,
12:30:00 PM,,US,,Inflation Rate YoY AUG,5.3%,5.40%,5.3%,5.3%, 
12:30:00 PM,,US,,Core Inflation Rate YoY AUG,4%,4.30%,4.2%,4.3%, 
12:30:00 PM,,US,,Core Inflation Rate MoM AUG,0.1%,0.30%,0.30%,0.30%,
12:30:00 PM,,US,,Inflation Rate MoM AUG,0.3%,0.50%,0.4%,0.4%, 
12:30:00 PM,,US,,CPI AUG,273.567,273.003,273.788,, 
09/15/21,,,,,Actual,Previous,Consensus,Forecast,
12:30:00 PM,,US,,Export Prices YoY AUG,16.8%,17% ®, ,17.5%, 
12:30:00 PM,,US,,Import Prices YoY AUG,9%,10.3% ®, ,9.7%, 
12:30:00 PM,,US,,Import Prices MoM AUG,-0.3%,0.4% ®,0.3%,0.3%, 
12:30:00 PM,,US,,Export Prices MoM AUG,0.4%,1.1% ®,0.4%,0.9%, 
09/17/21,,,,,Actual,Previous,Consensus,Forecast,
02:00:00 PM,,US,,Michigan 5 Year Inflation Expectations Prel SEP,2.9%,2.90%, ,2.8%, 
02:00:00 PM,,US,,Michigan Inflation Expectations Prel SEP,4.7%,4.60%, ,4.6%, 
09/30/21,,,,,Actual,Previous,Consensus,Forecast,
12:30:00 PM,,US,,GDP Price Index QoQ Final Q2,6.2%,4.30%,6.10%,6.20%,
12:30:00 PM,,US,,PCE Prices QoQ Final Q2,6.5%,3.80%,6.5%,6.5%, 
12:30:00 PM,,US,,Core PCE Prices QoQ Final Q2,6.1%,2.70%,6.1%,6.1%, 
10/01/21,,,,,Actual,Previous,Consensus,Forecast,
12:30:00 PM,,US,,PCE Price Index MoM AUG,0.4%,0.40%, ,0.3%, 
12:30:00 PM,,US,,PCE Price Index YoY AUG,4.3%,4.20%, ,4.2%, 
12:30:00 PM,,US,,Core PCE Price Index YoY AUG,3.6%,3.60%,3.6%,3.6%, 
12:30:00 PM,,US,,Core PCE Price Index MoM AUG,0.3%,0.30%,0.2%,0.2%, 
02:00:00 PM,,US,,Michigan Inflation Expectations Final SEP,4.6%,4.60%,4.7%,4.7%, 
02:00:00 PM,,US,,Michigan 5 Year Inflation Expectations Final SEP,3%,2.90%,2.9%,2.9%, 
10/12/21,,,,,Actual,Previous,Consensus,Forecast,
03:00:00 PM,,US,,Consumer Inflation Expectations SEP,5.3%,5.20%, ,5.3%, 
10/13/21,,,,,Actual,Previous,Consensus,Forecast,
12:30:00 PM,,US,,Core Inflation Rate YoY SEP,4%,4.00%,4%,4%, 
12:30:00 PM,,US,,Inflation Rate YoY SEP,5.4%,5.30%,5.3%,5.3%, 
12:30:00 PM,,US,,Core Inflation Rate MoM SEP,0.2%,0.10%,0.20%,0.20%,
12:30:00 PM,,US,,Inflation Rate MoM SEP,0.4%,0.30%,0.3%,0.3%, 
12:30:00 PM,,US,,CPI SEP,274.31,273.567,274.144,, 
10/14/21,,,,,Actual,Previous,Consensus,Forecast,
12:30:00 PM,,US,,PPI MoM SEP,0.5%,0.70%,0.6%,0.5%, 
12:30:00 PM,,US,,Core PPI MoM SEP,0.2%,0.60%,0.5%,0.4%, 
12:30:00 PM,,US,,Core PPI YoY SEP,6.8%,6.70%,7.1%,6.7%, 
12:30:00 PM,,US,,PPI YoY SEP,8.6%,8.30%,8.7%,8.5%, 
10/15/21,,,,,Actual,Previous,Consensus,Forecast,
12:30:00 PM,,US,,Export Prices MoM SEP,0.1%,0.40%,0.6%,0.5%, 
12:30:00 PM,,US,,Import Prices MoM SEP,0.4%,-0.30%,0.6%,0.6%, 
12:30:00 PM,,US,,Export Prices YoY SEP,16.3%,16.80%, ,16.7%, 
12:30:00 PM,,US,,Import Prices YoY SEP,9.2%,8.9% ®, ,9.5%, 
02:00:00 PM,,US,,Michigan 5 Year Inflation Expectations Prel OCT,2.8%,3.00%, ,3%, 
02:00:00 PM,,US,,Michigan Inflation Expectations Prel OCT,4.8%,4.60%, ,4.7%, 
10/28/21,,,,,Actual,Previous,Consensus,Forecast,
12:30:00 PM,,US,,GDP Price Index QoQ Adv Q3,5.7%,6.20%,5.50%,6.30%,
12:30:00 PM,,US,,Core PCE Prices QoQ Adv Q3,4.5%,6.10%,4.5%,4.5%, 
12:30:00 PM,,US,,PCE Prices QoQ Adv Q3,5.3%,6.50%, ,4.2%, 
10/29/21,,,,,Actual,Previous,Consensus,Forecast,
12:30:00 PM,,US,,PCE Price Index YoY SEP,4.4%,4.2% ®, ,4.4%, 
12:30:00 PM,,US,,PCE Price Index MoM SEP,0.3%,0.3% ®, ,0.5%, 
12:30:00 PM,,US,,Core PCE Price Index MoM SEP,0.2%,0.30%,0.2%,0.2%, 
12:30:00 PM,,US,,Core PCE Price Index YoY SEP,3.6%,3.60%,3.7%,3.7%, 
02:00:00 PM,,US,,Michigan Inflation Expectations Final OCT,4.8%,4.60%, ,4.8%, 
02:00:00 PM,,US,,Michigan 5 Year Inflation Expectations Final OCT,2.9%,3.00%, ,2.8%, 
11/08/21,,,,,Actual,Previous,Consensus,Forecast,
